x,1,2,3
0.118,1.2195,0.9691,0.3328
0.373,1.2186,0.951,0.3364
1.284,1.2123,0.8884,0.3495
3.878,1.2189,0.8066,0.3915
5.504,1.358,0.9863,0.4265
5.767,1.4288,1.0322,0.4333
6.449,1.7472,1.147,0.4525
7.596,1.9905,1.2928,0.4883
9.961,2.0047,1.4063,0.5537
10.456,1.9906,1.401,0.5627
12.996,1.909,1.2893,0.5794
14.397,2.136,1.2092,0.5701
14.661,2.2307,1.1951,0.5669
15.793,2.5252,1.1413,0.5474
15.854,2.5439,1.1387,0.5461
16.485,2.9145,1.1128,0.5306
17.411,3.32,1.078,0.5029
19.299,2.9792,1.0109,0.4378
19.595,2.9003,1,0.4277
20.719,2.5735,0.957,0.3921
21.022,2.4726,0.9453,0.3835
21.904,2.1841,0.9125,0.3614
23.09,1.7784,0.8737,0.339
23.334,1.5026,0.8669,0.3356
24.762,1.3139,0.8374,0.3247
26.863,1.1941,0.8343,0.3498
26.889,1.1939,0.8346,0.3506
29.452,1.3929,0.9506,0.4866
29.904,1.5021,1.0188,0.5145
31.065,1.9076,1.2867,0.5693
31.341,1.9214,1.3209,0.5774
31.552,1.9249,1.3398,0.5821
34.585,1.8911,1.3888,0.5707
36.48,1.9458,1.3394,0.5333
36.74,1.9592,1.3288,0.5283
38.802,2.1341,1.2114,0.4947
39.963,2.5396,1.1369,0.4783
40.654,2.9289,1.0986,0.468
40.711,2.9575,1.0957,0.4672
41.818,3.237,1.0481,0.4484
41.905,3.2336,1.0449,0.4468
43.707,2.8637,0.9865,0.4087
45.128,2.4581,0.9458,0.3792
46.114,2.1279,0.9169,0.3625
46.313,2.0686,0.9109,0.3597
47.305,1.7825,0.8802,0.349
47.499,1.6792,0.8743,0.3477
47.505,1.4846,0.8741,0.3476
51.268,1.2085,0.8139,0.3706
51.515,1.2108,0.8191,0.3754
52.935,1.3456,0.9089,0.4135
53.838,1.549,1.0288,0.4476
54.555,1.7191,1.1433,0.4788
55.234,1.9544,1.2434,0.5095
55.465,2.0679,1.2732,0.5198
57.623,1.9717,1.4176,0.5916
57.832,1.963,1.4189,0.595
60.164,1.8891,1.3411,0.5952
62.505,2.0674,1.209,0.5499
62.532,2.0747,1.2076,0.5492
62.787,2.15,1.1948,0.5425
63.666,2.4566,1.1555,0.5174
64.593,2.8459,1.1202,0.4888
65.519,3.2514,1.0885,0.4594
67.23,3.0042,1.0288,0.4088
67.641,2.9106,1.0128,0.3981
67.719,2.8922,1.0097,0.3961
69.061,2.5211,0.9546,0.3669
70.247,2.1155,0.9088,0.3487
71.433,1.7261,0.8714,0.3391
71.911,1.434,0.8596,0.3381
72.399,1.3807,0.85,0.339
73.353,1.3085,0.8384,0.347
76.373,1.3201,0.8813,0.4252
77.324,1.4815,0.9469,0.4571
78.511,1.8007,1.191,0.4926
79.423,1.9847,1.3361,0.5124
79.871,2.0336,1.3643,0.5196
83.203,1.9845,1.3815,0.5409
84.351,1.9125,1.352,0.5437
84.804,1.8873,1.3362,0.5443
86.207,2.0494,1.273,0.5424
87.603,2.4224,1.1942,0.5315
88.131,2.6027,1.1633,0.5243
88.529,2.8279,1.1405,0.5177
88.817,3.0366,1.1245,0.5122
89.455,3.2333,1.091,0.4986
91.34,2.9899,1.0049,0.4509
92.761,2.5842,0.9491,0.4133
93.533,2.3799,0.921,0.3941
93.751,2.322,0.9132,0.389
94.181,2.1948,0.8983,0.3794
95.131,1.8053,0.8672,0.3608
96.79,1.3023,0.824,0.3407
97.021,1.4159,0.8196,0.3396
99.151,1.3765,0.8155,0.3609
99.165,1.3761,0.8158,0.3613
101.481,1.3669,0.9803,0.4786
101.936,1.8373,1.0395,0.5069
102.428,1.9854,1.1072,0.5354
103.617,2.075,1.2565,0.588
104.275,2.0804,1.3167,0.605
105.705,2.0327,1.3665,0.6199
107.798,1.9666,1.2629,0.6038
109.249,2.0236,1.1616,0.5714
109.936,2.0856,1.1229,0.55
110.841,2.2097,1.0871,0.5168
112.002,2.6152,1.0591,0.4697
112.929,3.0044,1.044,0.4332
114.183,3.0008,1.0237,0.3926
114.868,2.9314,1.0089,0.3765
115.044,2.9069,1.0044,0.373
116.698,2.5175,0.9502,0.3509
118.118,2.128,0.8987,0.3433
119.538,1.7386,0.8568,0.3429
119.816,1.6409,0.8506,0.3435
120.035,1.5701,0.8463,0.344
121.428,1.3491,0.8306,0.3504
125.446,1.3199,0.8444,0.4079
125.652,1.3326,0.8458,0.4132
125.667,1.3336,0.8459,0.4136
127.283,1.7218,0.8544,0.462
128.678,2.1272,0.8587,0.504
130.37,2.2674,0.8613,0.5373
130.83,2.2926,0.8617,0.5414
132.191,2.3541,0.8628,0.5425
135.236,2.5323,0.8721,0.5044
135.992,2.7458,0.8776,0.4885
136.004,2.7513,0.8777,0.4882
136.398,2.9215,0.8812,0.4791
138.033,3.1485,0.8971,0.4366
139.688,2.759,0.9049,0.3922
141.108,2.3696,0.8941,0.3593
141.154,2.357,0.8934,0.3584
141.17,2.3524,0.8931,0.358
142.529,1.9639,0.8615,0.3357
143.949,1.5745,0.8201,0.3234
146.072,1.2012,0.7802,0.3328
146.32,1.1891,0.7794,0.3367
146.568,1.1803,0.7797,0.3414
150.059,1.2658,0.8405,0.4602
151.491,1.5524,0.8594,0.5033
151.69,1.655,0.8601,0.5077
151.715,1.6692,0.8601,0.5082
152.851,2.0605,0.8527,0.5266
156.127,2.336,0.7966,0.5321
156.879,2.3671,0.7948,0.5251
157.357,2.385,0.7991,0.519
159.407,2.5142,0.8508,0.4781
160.333,2.9197,0.8787,0.4524
161.804,3.1306,0.908,0.4053
162.289,3.1369,0.9107,0.3889
162.439,3.1304,0.9108,0.3838
163.859,2.741,0.8979,0.3371
165.279,2.3353,0.8668,0.2969
166.23,1.9459,0.84,0.2755
167.204,1.5495,0.8103,0.259
